Time,multizone.PHeater[1],multizone.PHeater[2],AixLib_T_dayzone,AixLib_T_nightzone,AixLib_Heating_Power_W
14930400.0,0.0,0.0,296.8157958984375,298.0091247558594,0.0
14931000.0,0.0,0.0,296.8030090332031,297.9925231933594,0.0
14931600.0,0.0,0.0,296.7908630371094,297.9766845703125,0.0
14932200.0,0.0,0.0,296.7784423828125,297.9605407714844,0.0
14932800.0,0.0,0.0,296.7660217285156,297.9444885253906,0.0
14933400.0,0.0,0.0,296.7539367675781,297.9288024902344,0.0
14934000.0,0.0,0.0,296.7414245605469,297.91259765625,0.0
14934600.0,0.0,0.0,296.72845458984375,297.89581298828125,0.0
14935200.0,0.0,0.0,296.7151794433594,297.87860107421875,0.0
14935800.0,0.0,0.0,296.701904296875,297.8614196777344,0.0
14936400.0,0.0,0.0,296.6871032714844,297.84222412109375,0.0
14937000.0,0.0,0.0,296.6727294921875,297.82366943359375,0.0
14937600.0,0.0,0.0,296.65679931640625,297.8031005859375,0.0
14938200.0,0.0,0.0,296.6400146484375,297.7813720703125,0.0
14938800.0,0.0,0.0,296.6227722167969,297.7589416503906,0.0
14939400.0,0.0,0.0,296.6055908203125,297.73638916015625,0.0
14940000.0,0.0,0.0,296.5888671875,297.7142639160156,0.0
14940600.0,0.0,0.0,296.5728454589844,297.6929626464844,0.0
14941200.0,0.0,0.0,296.5569763183594,297.6718444824219,0.0
14941800.0,0.0,0.0,296.5413513183594,297.6510009765625,0.0
14942400.0,0.0,0.0,296.5257263183594,297.630126953125,0.0
14943000.0,0.0,0.0,296.5101318359375,297.6092834472656,0.0
14943600.0,0.0,0.0,296.4945983886719,297.58843994140625,0.0
14944200.0,0.0,0.0,296.4790344238281,297.5675964355469,0.0
14944800.0,0.0,0.0,296.4636535644531,297.5469055175781,0.0
14945400.0,0.0,0.0,296.4483337402344,297.5262451171875,0.0
14946000.0,0.0,0.0,296.4329833984375,297.505615234375,0.0
14946600.0,0.0,0.0,296.41851806640625,297.4860534667969,0.0
14947200.0,0.0,0.0,296.40423583984375,297.46673583984375,0.0
14947800.0,0.0,0.0,296.83355712890625,297.4465637207031,0.0
14948400.0,0.0,0.0,296.8428039550781,297.427490234375,0.0
14949000.0,0.0,0.0,296.8393249511719,297.4085693359375,0.0
14949600.0,0.0,0.0,296.8331298828125,297.3896484375,0.0
14950200.0,0.0,0.0,296.8268737792969,297.3706970214844,0.0
14950800.0,0.0,0.0,296.82086181640625,297.3516845703125,0.0
14951400.0,0.0,0.0,296.8147888183594,297.3325500488281,0.0
14952000.0,0.0,0.0,296.8086853027344,297.31341552734375,0.0
14952600.0,0.0,0.0,296.8022766113281,297.2940368652344,0.0
14953200.0,0.0,0.0,296.7958679199219,297.274658203125,0.0
14953800.0,0.0,0.0,296.7894287109375,297.2552795410156,0.0
14954400.0,0.0,0.0,296.78302001953125,297.2359313964844,0.0
14955000.0,0.0,0.0,296.7761535644531,297.2160339355469,0.0
14955600.0,0.0,0.0,296.7691650390625,297.1960144042969,0.0
14956200.0,0.0,0.0,296.7619323730469,297.1756896972656,0.0
14956800.0,0.0,0.0,296.7546081542969,297.15521240234375,0.0
14957400.0,0.0,0.0,296.74755859375,297.1351013183594,0.0
14958000.0,0.0,0.0,296.7411193847656,297.11566162109375,0.0
14958600.0,0.0,0.0,296.7342224121094,297.0955810546875,0.0
14959200.0,0.0,0.0,296.7289733886719,297.0775451660156,0.0
14959800.0,0.0,0.0,296.7247314453125,297.0609436035156,0.0
14960400.0,0.0,0.0,296.72125244140625,297.04547119140625,0.0
14961000.0,0.0,0.0,296.7184753417969,297.0311279296875,0.0
14961600.0,0.0,0.0,296.7165222167969,297.0179443359375,0.0
14962200.0,0.0,0.0,296.7154541015625,297.0061340332031,0.0
14962800.0,0.0,0.0,296.7159729003906,296.9965515136719,0.0
14963400.0,0.0,0.0,296.7190246582031,296.9904479980469,0.0
14964000.0,0.0,0.0,296.72235107421875,296.9850158691406,0.0
14964600.0,0.0,0.0,296.7242431640625,296.9779968261719,0.0
14965200.0,0.0,0.0,296.72674560546875,296.97186279296875,0.0
14965800.0,0.0,0.0,296.73004150390625,296.9670104980469,0.0
14966400.0,0.0,0.0,296.7330017089844,296.9619140625,0.0
14967000.0,0.0,0.0,296.7361145019531,296.95721435546875,0.0
14967600.0,0.0,0.0,296.7400207519531,296.9537048339844,0.0
14968200.0,0.0,0.0,296.74493408203125,296.9516906738281,0.0
14968800.0,0.0,0.0,296.75079345703125,296.9510803222656,0.0
14969400.0,0.0,0.0,296.75732421875,296.9515686035156,0.0
14970000.0,0.0,0.0,296.764404296875,296.9530944824219,0.0
14970600.0,0.0,0.0,296.7713623046875,296.9546813964844,0.0
14971200.0,0.0,0.0,296.77825927734375,296.9562683105469,0.0
14971800.0,0.0,0.0,296.7845764160156,296.9573059082031,0.0
14972400.0,0.0,0.0,296.7903137207031,296.957763671875,0.0
14973000.0,0.0,0.0,296.7364501953125,296.9586486816406,0.0
14973600.0,0.0,0.0,296.6583251953125,296.9610290527344,0.0
14974200.0,0.0,0.0,296.57843017578125,296.96539306640625,0.0
14974800.0,0.0,0.0,296.4984436035156,296.97283935546875,0.0
14975400.0,0.0,0.0,296.42010498046875,296.9847717285156,0.0
14976000.0,0.0,0.0,296.3442687988281,297.00067138671875,0.0
14976600.0,0.0,0.0,296.3231201171875,297.0185852050781,0.0
14977200.0,0.0,0.0,296.329833984375,297.0347900390625,0.0
14977800.0,0.0,0.0,296.33538818359375,297.0476989746094,0.0
14978400.0,0.0,0.0,296.3377380371094,297.05731201171875,0.0
14979000.0,0.0,0.0,296.3390808105469,297.0658264160156,0.0
14979600.0,0.0,0.0,296.3408508300781,297.07470703125,0.0
14980200.0,0.0,0.0,296.3440856933594,297.08538818359375,0.0
14980800.0,0.0,0.0,296.3486022949219,297.0976257324219,0.0
14981400.0,0.0,0.0,296.3536071777344,297.1105651855469,0.0
14982000.0,0.0,0.0,296.35870361328125,297.1236877441406,0.0
14982600.0,0.0,0.0,296.36383056640625,297.13690185546875,0.0
14983200.0,0.0,0.0,296.3687438964844,297.1498718261719,0.0
14983800.0,0.0,0.0,296.371826171875,297.16064453125,0.0
14984400.0,0.0,0.0,296.3746643066406,297.1708984375,0.0
14985000.0,0.0,0.0,296.3777770996094,297.18145751953125,0.0
14985600.0,0.0,0.0,296.3816223144531,297.1929016113281,0.0
14986200.0,0.0,0.0,296.38739013671875,297.2068176269531,0.0
14986800.0,0.0,0.0,296.39398193359375,297.22186279296875,0.0
14987400.0,0.0,0.0,296.4010009765625,297.23748779296875,0.0
14988000.0,0.0,0.0,296.4071350097656,297.25213623046875,0.0
14988600.0,0.0,0.0,296.4122009277344,297.265380859375,0.0
14989200.0,0.0,0.0,296.4151611328125,297.2759094238281,0.0
14989800.0,0.0,0.0,296.41668701171875,297.28448486328125,0.0
14990400.0,0.0,0.0,296.4173278808594,297.29180908203125,0.0
14991000.0,0.0,0.0,296.4171142578125,297.29791259765625,0.0
14991600.0,0.0,0.0,296.4162292480469,297.30303955078125,0.0
14992200.0,0.0,0.0,296.4154052734375,297.3081359863281,0.0
14992800.0,0.0,0.0,296.4145202636719,297.3130798339844,0.0
14993400.0,0.0,0.0,296.4134826660156,297.3177490234375,0.0
14994000.0,0.0,0.0,296.4123840332031,297.322265625,0.0
14994600.0,0.0,0.0,296.4111328125,297.3263854980469,0.0
14995200.0,0.0,0.0,296.40985107421875,297.3304443359375,0.0
14995800.0,0.0,0.0,296.40966796875,297.3357849121094,0.0
14996400.0,0.0,0.0,296.4097900390625,297.3414611816406,0.0
14997000.0,0.0,0.0,296.409912109375,297.3471374511719,0.0
14997600.0,0.0,0.0,296.4100341796875,297.3528137207031,0.0
14998200.0,0.0,0.0,296.4106140136719,297.35906982421875,0.0
14998800.0,0.0,0.0,296.40997314453125,297.3636779785156,0.0
14999400.0,0.0,0.0,296.4089050292969,297.3677062988281,0.0
15000000.0,0.0,0.0,296.4078369140625,297.37176513671875,0.0
15000600.0,0.0,0.0,296.4060974121094,297.374755859375,0.0
15001200.0,0.0,0.0,296.4035339355469,297.3765563964844,0.0
15001800.0,0.0,0.0,296.4017028808594,297.37939453125,0.0
15002400.0,0.0,0.0,296.39862060546875,297.3805236816406,0.0
15003000.0,0.0,0.0,296.3946228027344,297.38037109375,0.0
15003600.0,0.0,0.0,296.39007568359375,297.37933349609375,0.0
15004200.0,0.0,0.0,296.38494873046875,297.3774108886719,0.0
15004800.0,0.0,0.0,296.3797302246094,297.375244140625,0.0
15005400.0,0.0,0.0,296.3739929199219,297.37213134765625,0.0
15006000.0,0.0,0.0,296.36761474609375,297.36810302734375,0.0
15006600.0,0.0,0.0,296.36016845703125,297.3625793457031,0.0
15007200.0,0.0,0.0,296.3527526855469,297.3570556640625,0.0
15007800.0,0.0,0.0,296.3449401855469,297.35107421875,0.0
15008400.0,0.0,0.0,296.3353271484375,297.3427734375,0.0
15009000.0,0.0,0.0,296.3304443359375,297.3310852050781,0.0
15009600.0,0.0,0.0,296.3246154785156,297.3147888183594,0.0
15010200.0,0.0,0.0,296.3170166015625,297.2955627441406,0.0
15010800.0,0.0,0.0,296.3089599609375,297.2751770019531,0.0
15011400.0,0.0,0.0,296.30181884765625,297.2552490234375,0.0
15012000.0,0.0,0.0,296.29595947265625,297.2377014160156,0.0
15012600.0,0.0,0.0,296.2885437011719,297.2242126464844,0.0
15013200.0,0.0,0.0,296.28021240234375,297.21368408203125,0.0
15013800.0,0.0,0.0,296.2728271484375,297.20477294921875,0.0
15014400.0,0.0,0.0,296.2653503417969,297.19586181640625,0.0
15015000.0,0.0,0.0,296.2572326660156,297.18621826171875,0.0
15015600.0,0.0,0.0,296.247802734375,297.1749267578125,0.0
15016200.0,0.0,0.0,296.23785400390625,297.1629943847656,0.0
15016800.0,0.0,0.0,296.228271484375,297.1514892578125,0.0
15017400.0,0.0,0.0,296.218994140625,297.1403503417969,0.0
15018000.0,0.0,0.0,296.20849609375,297.1277160644531,0.0
15018600.0,0.0,0.0,296.19708251953125,297.11395263671875,0.0
15019200.0,0.0,0.0,296.1832580566406,297.0972595214844,0.0
15019800.0,0.0,0.0,296.1662292480469,297.07647705078125,0.0
15020400.0,0.0,0.0,296.1477966308594,297.05364990234375,0.0
15021000.0,0.0,0.0,296.1285705566406,297.0295715332031,0.0
15021600.0,0.0,0.0,296.1094970703125,297.0055236816406,0.0
15022200.0,0.0,0.0,296.09027099609375,296.98101806640625,0.0
15022800.0,0.0,0.0,296.0706481933594,296.9558410644531,0.0
15023400.0,0.0,0.0,296.0499572753906,296.928955078125,0.0
15024000.0,0.0,0.0,296.0299987792969,296.90283203125,0.0
15024600.0,0.0,0.0,296.0099792480469,296.87652587890625,0.0
15025200.0,0.0,0.0,295.9894104003906,296.8492431640625,0.0
15025800.0,0.0,0.0,295.96875,296.8218078613281,0.0
15026400.0,0.0,0.0,295.9479675292969,296.7941589355469,0.0
15027000.0,0.0,0.0,295.9269714355469,296.76605224609375,0.0
15027600.0,0.0,0.0,295.905517578125,296.7371520996094,0.0
15028200.0,0.0,0.0,295.8837890625,296.7077941894531,0.0
15028800.0,0.0,0.0,295.86163330078125,296.677734375,0.0
15029400.0,0.0,0.0,295.8392639160156,296.6473083496094,0.0
15030000.0,0.0,0.0,295.8159484863281,296.615478515625,0.0
15030600.0,0.0,0.0,295.7930908203125,296.58416748046875,0.0
15031200.0,0.0,0.0,295.768798828125,296.5509948730469,0.0
15031800.0,0.0,0.0,295.74359130859375,296.5164794921875,0.0
15032400.0,0.0,0.0,295.717529296875,296.4808044433594,0.0
15033000.0,0.0,0.0,295.69085693359375,296.444091796875,0.0
15033600.0,0.0,0.0,295.6635437011719,296.4063720703125,0.0
15034200.0,0.0,0.0,296.09942626953125,296.3682861328125,0.0
15034800.0,0.0,0.0,296.0919189453125,296.328125,0.0
15035400.0,0.0,0.0,296.0731201171875,296.2865295410156,0.0
15036000.0,0.0,0.0,296.0518798828125,296.2441711425781,0.0
15036600.0,0.0,0.0,296.0303649902344,296.20184326171875,0.0
15037200.0,0.0,0.0,296.01025390625,296.16094970703125,0.0
15037800.0,0.0,0.0,295.98980712890625,296.11944580078125,0.0
15038400.0,0.0,0.0,295.9714660644531,296.0803527832031,0.0
